Date,IV,NR,ER,MV,MD,HERC,HCAA,Year
2000-01-04,-0.00973599061226571,-0.01980111943137297,-0.014564472985440835,0.0010032163330919719,-0.006398644160318545,-0.009924037322552204,-0.020201267645863052,2000
2000-01-05,-0.007389790863685408,-0.013676621805110312,-0.010905842215308659,-0.003142631007498231,-0.005329473166051812,-0.013029108417435764,-0.019320450056953598,2000
2000-01-06,-0.0018521185471626067,-0.006148642943630267,-0.005040736660776979,-0.0009561884491829931,-0.00284246240448216,-0.010646154993122048,-0.01374526157900624,2000
2000-01-07,0.00964993184532581,0.011688518981065155,0.007574867856493972,0.0016440603142100496,0.0031424806114559445,-0.007432901121333102,0.002064900783650181,2000
2000-01-10,0.010245096722836466,0.013187737830026025,0.008707557772510865,0.001580939397747283,0.0033318573596785583,-0.005605061637863007,0.004940408268162555,2000
2000-01-11,0.004507605500713163,0.006059118474479597,0.004657419216959724,-0.0011502290886851174,0.0010234132217539216,0.0009684811279859762,0.003034042546644411,2000
2000-01-12,0.0048199801437978085,0.006526464609786453,0.006711048076688764,-0.000600611429125153,0.0037866491743094866,0.00960535610066282,0.006042999597902998,2000
2000-01-13,0.012011331448908091,0.015574906660545507,0.014851789560560213,0.00475550222564447,0.009706952893901333,0.01725559618416983,0.015438058427276857,2000
2000-01-14,0.014122385093819023,0.019975025480738262,0.02013846976731859,0.0060154921166790665,0.01504154572265981,0.029813140914504377,0.02408099532565222,2000
2000-01-18,0.012500403179719566,0.017782560530587244,0.01941797346872387,0.00609053403415416,0.014919379478620654,0.03420052147511621,0.024564656840829535,2000
2000-01-19,0.014689440433734768,0.020091766963549196,0.0224386048362335,0.008663649510006755,0.017990921209946498,0.04066689059179551,0.028918585239047223,2000
2000-01-20,0.013161535412048897,0.01668122309284059,0.020906263947286785,0.008509193877977106,0.01859288004241133,0.042776202364860794,0.025872710484493577,2000
2000-01-21,0.014769611179368924,0.017839398689692754,0.022047282394912937,0.009290306892115963,0.019630011537507874,0.04078101410659829,0.023158851667613778,2000
2000-01-24,0.010297933826742378,0.008421136425433184,0.015270932277961835,0.010669260455462348,0.016888959275663362,0.03642056334490751,0.013761723016405325,2000
2000-01-25,0.008632382587153486,0.0063630290286735836,0.014478851004885662,0.011625907689957415,0.017602567800722113,0.04111328193940911,0.01529438150787965,2000
2000-01-26,0.009681252810187724,0.007338414991304498,0.013924225083251418,0.011226213702443477,0.014760313192602403,0.03549870628941432,0.014255794074490957,2000
2000-01-27,0.008448566396638046,0.0048814785956659,0.01222155873260622,0.011586361672311751,0.014522083280841924,0.036139907667734894,0.013543692189289303,2000
2000-01-28,-0.0013955127417710766,-0.011924244948447349,-0.00040944151029564946,0.010549276555049003,0.010184474786004927,0.02823181383430229,-0.002663580046207925,2000
2000-01-31,0.002200168896256516,-0.00436750382539608,0.005450570956266221,0.009015065490177054,0.013786445581494,0.030940336815904024,0.000852851965748469,2000
2000-02-01,0.006151375754934518,0.0009195293974006979,0.010515967279336458,0.012524740455573502,0.018054641463963517,0.03895576266195455,0.009935251295410952,2000
2000-02-02,0.005368818264929853,-0.0005015373415120372,0.008438040267244595,0.012198229117968529,0.015977926861673097,0.03300944085339541,0.007212232032774768,2000
2000-02-03,0.010961117834745515,0.005287970127867858,0.01372577840934941,0.01703352671609948,0.020731124981720583,0.037704258989435635,0.014069389048581904,2000
2000-02-04,0.00822361533471061,0.002315552981227764,0.01374429046203951,0.01785225801575918,0.02349477008790246,0.0519611381153684,0.02059848586241153,2000
2000-02-07,0.006349193672761988,0.0006005610712020992,0.011381835850029942,0.015396779474977196,0.021100175523505182,0.04554640434269697,0.016011278511498306,2000
2000-02-08,0.011004363951755414,0.006458455130743168,0.01420213041226126,0.01645374394897292,0.021369489878465764,0.03740726442952802,0.01627473417878078,2000
2000-02-09,0.0036935167116465273,-0.005409625510995886,0.007085441937314307,0.016108393726979253,0.019487693838623255,0.04404480099856478,0.011877883145115398,2000
2000-02-10,0.0037190432431686293,-0.004521955098180319,0.010094123500141716,0.017132431076423815,0.023013530961239814,0.056937553417430786,0.017486345187733177,2000
2000-02-11,-0.0022939057348565495,-0.015945305263715626,0.0010794889556513532,0.01730839161721831,0.017277948960006118,0.049821857174285,0.006316703124234158,2000
2000-02-14,0.00018845928510491383,-0.013547478361689791,0.0033977293393951946,0.0196012630050173,0.019883383288049394,0.05097753006697947,0.007671214169407525,2000
2000-02-15,0.0037023518423753288,-0.006568076079351948,0.007842346610626327,0.01823951098491583,0.020431134245180615,0.0497203954314871,0.012361442751629426,2000
2000-02-16,0.0009880423599852861,-0.011146523838360123,0.00509332184396194,0.01826128788265824,0.019896136730702896,0.05021572943186503,0.008514352900578448,2000
2000-02-17,-5.7940113909138447e-05,-0.012895437251501662,0.003456559225786915,0.01809353975833128,0.01915313189396639,0.04729613643027086,0.006642911459441514,2000
2000-02-18,-0.009224886340068461,-0.030822520954872257,-0.009400202479849518,0.02004492535029434,0.013861888979358694,0.04250248341451868,-0.008110547224593034,2000
2000-02-22,-0.006856452311990724,-0.028724318624817502,-0.007503616762970511,0.02280353057452955,0.01615209793213812,0.04378878445380008,-0.005576597373061931,2000
2000-02-23,-0.010729995781335155,-0.03266734981700303,-0.011601524874020774,0.019789790353858416,0.012330971267610735,0.04019907936182121,-0.0074251086859215,2000
2000-02-24,-0.01400968554339399,-0.040073673062430815,-0.01625495338306082,0.023123627750002207,0.01211264433083925,0.04088920808791219,-0.011930030165269168,2000
